htid,filename,size_changed,modification_time,rsync_flags
hvd.32044102769668,32044102769668.mets.xml,True,True,>f.st......
hvd.32044102769668,32044102769668.zip,True,True,>f.st......
hvd.32044102769718,32044102769718.mets.xml,True,True,>f.st......
hvd.32044102769718,32044102769718.zip,True,True,>f.st......
hvd.32044102769726,32044102769726.mets.xml,True,True,>f.st......
hvd.32044102769726,32044102769726.zip,True,True,>f.st......
hvd.32044102769734,32044102769734.mets.xml,True,True,>f.st......
hvd.32044102769734,32044102769734.zip,True,True,>f.st......
hvd.32044102769742,32044102769742.mets.xml,True,True,>f.st......
hvd.32044102769742,32044102769742.zip,True,True,>f.st......
hvd.32044102769759,32044102769759.mets.xml,True,True,>f.st......
hvd.32044102769759,32044102769759.zip,True,True,>f.st......
hvd.32044102770013,32044102770013.mets.xml,True,True,>f.st......
hvd.32044102770013,32044102770013.zip,True,True,>f.st......
hvd.32044102770054,32044102770054.mets.xml,True,True,>f.st......
hvd.32044102770054,32044102770054.zip,True,True,>f.st......
hvd.32044102770070,32044102770070.mets.xml,True,True,>f.st......
hvd.32044102770070,32044102770070.zip,True,True,>f.st......
hvd.32044102770088,32044102770088.mets.xml,True,True,>f.st......
hvd.32044102770088,32044102770088.zip,True,True,>f.st......
hvd.32044102770096,32044102770096.mets.xml,True,True,>f.st......
hvd.32044102770096,32044102770096.zip,True,True,>f.st......
hvd.32044102770104,32044102770104.mets.xml,True,True,>f.st......
hvd.32044102770104,32044102770104.zip,True,True,>f.st......
hvd.32044102770112,32044102770112.mets.xml,True,True,>f.st......
hvd.32044102770112,32044102770112.zip,True,True,>f.st......
hvd.32044102770138,32044102770138.mets.xml,True,True,>f.st......
hvd.32044102770138,32044102770138.zip,True,True,>f.st......
hvd.32044102770468,32044102770468.mets.xml,True,True,>f.st......
hvd.32044102770468,32044102770468.zip,True,True,>f.st......
hvd.32044102770583,32044102770583.mets.xml,True,True,>f.st......
hvd.32044102770583,32044102770583.zip,True,True,>f.st......
hvd.32044102770591,32044102770591.mets.xml,True,True,>f.st......
hvd.32044102770591,32044102770591.zip,True,True,>f.st......
hvd.32044102771433,32044102771433.mets.xml,True,True,>f.st......
hvd.32044102771433,32044102771433.zip,True,True,>f.st......
hvd.32044102771458,32044102771458.mets.xml,True,True,>f.st......
hvd.32044102771458,32044102771458.zip,True,True,>f.st......
hvd.32044102771466,32044102771466.mets.xml,True,True,>f.st......
hvd.32044102771466,32044102771466.zip,True,True,>f.st......
hvd.32044102771474,32044102771474.mets.xml,True,True,>f.st......
hvd.32044102771474,32044102771474.zip,True,True,>f.st......
hvd.32044102771573,32044102771573.mets.xml,True,True,>f.st......
hvd.32044102771573,32044102771573.zip,True,True,>f.st......
hvd.32044102771599,32044102771599.mets.xml,True,True,>f.st......
hvd.32044102771599,32044102771599.zip,True,True,>f.st......
hvd.32044102787041,32044102787041.mets.xml,True,True,>f.st......
hvd.32044102787041,32044102787041.zip,True,True,>f.st......
